.VERSION 1.0
.INCLUDE kai/word.lex
.INCLUDE kai/kai1.doc
.INCLUDE kai/data/kai1/jhjung5.dat
.SEGMENT CHARACTER 2:78-2:131 OK  "g"
.SEGMENT CHARACTER 2:135-2:164 OK  "o"
.SEGMENT CHARACTER 4:96-5:7 OK  "a"
.SEGMENT CHARACTER 5:15-5:28 OK  "c"
.SEGMENT CHARACTER 5:33-5:82 OK  "k"
.SEGMENT CHARACTER 6:85-6:112 OK  "o"
.SEGMENT CHARACTER 6:113-6:136 OK  "t"
.SEGMENT CHARACTER 6:137-6:191 OK  "h"
.SEGMENT CHARACTER 17:95-17:131 OK  "o"
.SEGMENT CHARACTER 20:57-20:93 OK  "n"
.SEGMENT CHARACTER 20:105-20:157 OK  "d"
.SEGMENT CHARACTER 21:148-21:205 OK  "y"
.SEGMENT CHARACTER 21:59-21:86 OK  "v"
.SEGMENT CHARACTER 21:87-21:111 OK  "e"
.SEGMENT CHARACTER 21:112-21:137 OK  "r"
.SEGMENT CHARACTER 23:33-23:68 OK  "a"
.SEGMENT CHARACTER 23:69-23:97 OK  "s"
.SEGMENT CHARACTER 23:98-24:8 OK  "t"
.SEGMENT CHARACTER 32:87-32:119 OK  "o"
.SEGMENT CHARACTER 32:127-32:162 OK  "o"
.SEGMENT CHARACTER 32:171-32:216 OK  "d"
.SEGMENT CHARACTER 34:55-34:89 OK  "a"
.SEGMENT CHARACTER 34:90-34:121 OK  "s"
.SEGMENT CHARACTER 36:44-36:69 OK  "e"
.SEGMENT CHARACTER 36:70-36:111 OK  "l"
.SEGMENT CHARACTER 36:117-36:172 OK  "p"
.SEGMENT CHARACTER 38:47-38:68 OK  "i"
.SEGMENT CHARACTER 38:69-38:101 OK  "s"
.SEGMENT CHARACTER 44:77-44:112 OK  "o"
.SEGMENT CHARACTER 44:113-44:133 OK  "i"
.SEGMENT CHARACTER 44:134-45:0 OK  "n"
.SEGMENT CHARACTER 50:36-50:53 OK  "i"
.SEGMENT CHARACTER 50:61-50:89 OK  "n"
.SEGMENT CHARACTER 50:101-50:152 OK  "d"
