.VERSION 1.0
.INCLUDE kai/word.lex
.INCLUDE kai/kai1.doc
.INCLUDE kai/data/kai1/jwkim4.dat
.SEGMENT CHARACTER 1:25-1:52 OK  "s"
.SEGMENT CHARACTER 1:0-1:21 OK  "i"
.SEGMENT CHARACTER 25:0-26:10 OK  "i"
.SEGMENT CHARACTER 27:0-27:35 OK  "n"
.SEGMENT CHARACTER 40:0-41:6 OK  "i"
.SEGMENT CHARACTER 42:0-42:18 OK  "s"
.SEGMENT CHARACTER 44:0-45:15 OK  "t"
.SEGMENT CHARACTER 46:0-46:27 OK  "h"
.SEGMENT CHARACTER 47:0-48:6 OK  "i"
.SEGMENT CHARACTER 48:11-48:29 OK  "n"
.SEGMENT CHARACTER 49:0-50:14 OK  "k"
.SEGMENT CHARACTER 51:0-52:9 OK  "i"
.SEGMENT CHARACTER 52:16-52:40 OK  "n"
.SEGMENT CHARACTER 53:0-53:49 OK  "g"
.SEGMENT CHARACTER 54:0-54:21 OK  "r"
.SEGMENT CHARACTER 55:0-55:23 OK  "e"
.SEGMENT CHARACTER 55:27-55:55 OK  "e"
.SEGMENT CHARACTER 56:0-56:46 OK  "d"
.SEGMENT CHARACTER 68:0-68:27 OK  "u"
.SEGMENT CHARACTER 68:38-68:62 OK  "n"
.SEGMENT CHARACTER 69:0-70:5 OK  "i"
.SEGMENT CHARACTER 71:0-71:13 OK  "v"
.SEGMENT CHARACTER 72:0-72:19 OK  "e"
.SEGMENT CHARACTER 72:21-72:44 OK  "r"
.SEGMENT CHARACTER 73:0-73:17 OK  "s"
.SEGMENT CHARACTER 74:0-74:24 OK  "e"
.SEGMENT CHARACTER 75:0-75:33 OK  "n"
.SEGMENT CHARACTER 75:37-75:55 OK  "e"
.SEGMENT CHARACTER 75:58-75:77 OK  "e"
.SEGMENT CHARACTER 76:0-76:40 OK  "d"
.SEGMENT CHARACTER 77:0-77:38 OK  "n"
.SEGMENT CHARACTER 78:0-78:25 OK  "o"
.SEGMENT CHARACTER 79:0-80:16 OK  "t"
.SEGMENT CHARACTER 81:0-81:24 OK  "a"
.SEGMENT CHARACTER 81:27-81:56 OK  "r"
.SEGMENT CHARACTER 82:9-82:55 OK  "m"
.SEGMENT CHARACTER 92:0-93:11 OK  "t"
.SEGMENT CHARACTER 94:0-94:20 OK  "o"
.SEGMENT CHARACTER 100:0-100:18 OK  "v"
.SEGMENT CHARACTER 101:0-101:25 OK  "a"
.SEGMENT CHARACTER 102:0-103:13 OK  "p"
.SEGMENT CHARACTER 104:0-104:19 OK  "o"
.SEGMENT CHARACTER 105:0-105:18 OK  "u"
.SEGMENT CHARACTER 106:0-106:13 OK  "r"
.SEGMENT CHARACTER 108:0-108:41 OK  "d"
.SEGMENT CHARACTER 109:0-109:17 OK  "r"
.SEGMENT CHARACTER 109:18-109:38 OK  "o"
.SEGMENT CHARACTER 110:0-111:21 OK  "p"
.SEGMENT CHARACTER 119:0-119:18 OK  "s"
.SEGMENT CHARACTER 120:0-120:18 OK  "u"
.SEGMENT CHARACTER 121:0-122:4 OK  "f"
.SEGMENT CHARACTER 123:0-124:5 OK  "f"
.SEGMENT CHARACTER 125:0-126:4 OK  "i"
.SEGMENT CHARACTER 127:0-127:17 OK  "c"
.SEGMENT CHARACTER 127:18-127:32 OK  "e"
.SEGMENT CHARACTER 128:0-128:16 OK  "s"
.SEGMENT CHARACTER 129:0-130:10 OK  "t"
.SEGMENT CHARACTER 131:0-131:16 OK  "o"
.SEGMENT CHARACTER 132:0-133:14 OK  "k"
.SEGMENT CHARACTER 134:0-135:5 OK  "i"
.SEGMENT CHARACTER 136:0-136:13 OK  "l"
.SEGMENT CHARACTER 137:0-137:14 OK  "l"
.SEGMENT CHARACTER 138:0-138:29 OK  "h"
.SEGMENT CHARACTER 139:0-140:6 OK  "i"
.SEGMENT CHARACTER 140:13-140:40 OK  "m"
.SEGMENT CHARACTER 145:0-146:6 OK  "i"
.SEGMENT CHARACTER 147:0-147:42 OK  "f"
