.VERSION 1.0
.INCLUDE kai/word.lex
.INCLUDE kai/kai1.doc
.INCLUDE kai/data/kai1/kclee4.dat
.SEGMENT CHARACTER 0:0-0:72 OK  "y"
.SEGMENT CHARACTER 0:73-0:110 OK  "e"
.SEGMENT CHARACTER 0:116-1:16 OK  "t"
.SEGMENT CHARACTER 17:0-18:7 OK  "t"
.SEGMENT CHARACTER 19:0-19:65 OK  "h"
.SEGMENT CHARACTER 19:66-20:2 OK  "i"
.SEGMENT CHARACTER 21:0-21:42 OK  "r"
.SEGMENT CHARACTER 21:43-22:10 OK  "t"
.SEGMENT CHARACTER 23:0-23:43 OK  "e"
.SEGMENT CHARACTER 23:44-23:83 OK  "e"
.SEGMENT CHARACTER 23:84-23:136 OK  "n"
.SEGMENT CHARACTER 32:0-32:67 OK  "m"
.SEGMENT CHARACTER 33:0-33:38 OK  "a"
.SEGMENT CHARACTER 33:39-34:3 OK  "i"
.SEGMENT CHARACTER 35:0-35:38 OK  "n"
.SEGMENT CHARACTER 36:0-36:63 OK  "h"
.SEGMENT CHARACTER 36:64-37:1 OK  "i"
.SEGMENT CHARACTER 38:0-38:65 OK  "g"
.SEGMENT CHARACTER 39:0-39:64 OK  "h"
.SEGMENT CHARACTER 61:0-62:10 OK  "f"
.SEGMENT CHARACTER 63:0-63:32 OK  "o"
.SEGMENT CHARACTER 64:0-64:34 OK  "o"
.SEGMENT CHARACTER 65:0-65:43 OK  "l"
.SEGMENT CHARACTER 66:0-67:2 OK  "i"
.SEGMENT CHARACTER 68:0-68:23 OK  "s"
.SEGMENT CHARACTER 69:0-69:64 OK  "h"
.SEGMENT CHARACTER 82:0-82:39 OK  "l"
.SEGMENT CHARACTER 83:0-83:32 OK  "e"
.SEGMENT CHARACTER 84:0-84:36 OK  "n"
.SEGMENT CHARACTER 85:0-85:63 OK  "d"
.SEGMENT CHARACTER 86:0-87:8 OK  "t"
.SEGMENT CHARACTER 88:0-88:46 OK  "w"
.SEGMENT CHARACTER 89:0-89:27 OK  "e"
.SEGMENT CHARACTER 90:0-90:37 OK  "n"
.SEGMENT CHARACTER 90:40-91:10 OK  "t"
.SEGMENT CHARACTER 92:0-92:68 OK  "y"
.SEGMENT CHARACTER 95:0-95:41 OK  "s"
.SEGMENT CHARACTER 95:42-96:2 OK  "i"
.SEGMENT CHARACTER 97:0-97:34 OK  "n"
.SEGMENT CHARACTER 98:0-98:77 OK  "g"
.SEGMENT CHARACTER 99:0-99:63 OK  "f"
.SEGMENT CHARACTER 100:0-100:32 OK  "e"
.SEGMENT CHARACTER 101:0-101:52 OK  "w"
.SEGMENT CHARACTER 115:0-115:68 OK  "p"
.SEGMENT CHARACTER 116:0-117:3 OK  "i"
.SEGMENT CHARACTER 118:0-118:79 OK  "g"
