
.WRITER_ID Dave_Stauffer
.STYLE MIXED

.PEN_DOWN
743 15754
743 15757
743 15761
743 15767
740 15771
737 15774
732 15777
727 15781
718 15784
704 15784
690 15781
675 15774
661 15758
647 15740
638 15724
636 15714
638 15705
642 15701
654 15699
672 15704
688 15708
697 15715
701 15717
701 15717
699 15718
686 15717
667 15708
647 15689
632 15672
623 15655
621 15643
623 15633
634 15627
653 15626
680 15630
706 15633
729 15636
.PEN_UP
.PEN_DOWN
845 15640
842 15645
835 15649
828 15649
819 15645
808 15637
794 15623
781 15607
773 15596
771 15590
773 15583
781 15580
796 15584
811 15596
823 15607
830 15623
835 15633
835 15643
834 15645
831 15645
824 15634
819 15613
819 15593
823 15574
834 15560
.PEN_UP
.PEN_DOWN
897 15641
895 15633
893 15617
890 15602
889 15587
890 15578
893 15574
893 15574
893 15573
893 15574
895 15580
894 15583
893 15584
893 15587
893 15590
891 15590
891 15590
890 15590
890 15591
889 15591
888 15590
888 15590
888 15590
887 15590
887 15590
887 15590
886 15587
886 15587
886 15587
885 15587
885 15591
884 15600
886 15617
891 15646
897 15681
901 15722
906 15758
909 15773
909 15777
909 15780
909 15780
912 15773
914 15760
.PEN_UP
.PEN_DOWN
858 15665
853 15666
851 15668
851 15668
861 15668
885 15669
916 15676
939 15679
956 15679
968 15672
.PEN_UP
.PEN_DOWN
705 15480
706 15482
707 15485
707 15489
706 15492
705 15498
701 15501
695 15505
686 15505
674 15502
661 15495
651 15485
644 15476
640 15465
640 15456
642 15447
650 15442
661 15440
675 15443
686 15447
690 15450
691 15452
690 15452
684 15450
669 15439
654 15420
640 15399
631 15381
628 15368
627 15361
632 15357
644 15353
665 15357
688 15365
709 15374
726 15381
.PEN_UP
.PEN_DOWN
781 15492
779 15492
775 15482
771 15451
766 15416
764 15387
764 15362
767 15345
773 15331
.PEN_UP
.PEN_DOWN
834 15364
834 15365
836 15368
847 15381
858 15397
870 15414
880 15430
885 15440
885 15446
882 15449
876 15450
867 15447
854 15433
843 15410
838 15384
836 15365
840 15352
850 15343
868 15342
889 15354
.PEN_UP
.PEN_DOWN
937 15417
935 15404
935 15388
935 15374
933 15364
933 15355
933 15352
933 15351
933 15352
935 15357
941 15374
949 15397
958 15416
965 15429
971 15433
977 15430
984 15414
986 15390
985 15364
985 15345
986 15338
987 15334
990 15334
998 15345
1012 15368
1022 15400
1030 15416
1032 15420
1036 15420
1040 15401
1038 15371
1040 15352
1042 15338
1047 15328
1053 15319
.PEN_UP
.PEN_DOWN
1120 15365
1124 15374
1131 15382
1135 15391
1141 15401
1143 15411
1145 15417
1144 15424
1138 15426
1125 15420
1110 15400
1100 15374
1097 15357
1102 15342
1112 15334
1126 15331
1142 15338
1156 15352
1169 15368
1178 15383
1185 15393
1189 15396
1190 15394
1190 15387
1188 15368
1186 15354
1183 15341
1181 15334
1181 15331
1182 15331
1187 15338
1196 15358
1209 15384
1217 15407
1226 15420
1228 15421
1232 15417
1232 15397
1232 15374
1232 15355
1234 15344
1240 15338
1249 15341
1262 15354
.PEN_UP
.PEN_DOWN
1325 15557
1320 15534
1317 15501
1312 15463
1314 15416
1317 15381
1319 15355
1319 15338
1320 15329
.PEN_UP
.PEN_DOWN
1283 15411
1274 15420
1270 15420
1270 15420
1275 15427
1299 15440
1329 15452
1355 15460
1380 15465
.PEN_UP
.PEN_DOWN
709 15269
710 15270
711 15275
713 15280
713 15282
712 15283
709 15285
706 15286
699 15286
687 15285
674 15280
661 15272
646 15259
635 15244
625 15233
621 15226
621 15221
625 15217
639 15217
659 15220
675 15224
686 15230
689 15230
689 15230
689 15230
678 15217
661 15200
646 15181
635 15165
625 15148
621 15132
620 15122
623 15116
630 15113
