
.WRITER_ID Dave_Washburn
.STYLE MIXED

.PEN_DOWN
673 15547
676 15528
667 15496
643 15449
614 15398
.PEN_UP
.PEN_DOWN
575 15478
589 15482
612 15499
643 15519
682 15543
730 15563
778 15566
813 15555
827 15532
810 15502
773 15475
730 15459
691 15451
667 15449
654 15452
.PEN_UP
.PEN_DOWN
813 15425
818 15415
822 15412
826 15415
835 15431
838 15448
839 15459
835 15471
830 15478
828 15485
826 15492
827 15501
834 15511
843 15518
856 15522
875 15522
895 15522
911 15522
917 15519
.PEN_UP
.PEN_DOWN
976 15519
978 15519
991 15522
1006 15522
1029 15522
1054 15519
1074 15516
1084 15508
1085 15496
1076 15478
1063 15455
1049 15431
1037 15408
1032 15393
1030 15391
1034 15392
1039 15408
1041 15418
1030 15432
1011 15445
982 15449
954 15442
936 15433
928 15418
928 15405
940 15392
967 15385
996 15382
1019 15382
1035 15387
1045 15394
1048 15403
.PEN_UP
.PEN_DOWN
1170 15532
1174 15535
1180 15536
1184 15536
1186 15535
1185 15519
1171 15495
1149 15458
1130 15416
1121 15387
1115 15377
.PEN_UP
.PEN_DOWN
1229 15418
1233 15412
1235 15411
1235 15411
1233 15412
1230 15418
1230 15425
1238 15439
1247 15451
1256 15461
1263 15475
1272 15487
1283 15501
1296 15512
1307 15518
1315 15518
1322 15512
1326 15502
1326 15491
.PEN_UP
.PEN_DOWN
1398 15515
1402 15515
1406 15511
1401 15492
1387 15461
1369 15424
1354 15392
1344 15365
.PEN_UP
.PEN_DOWN
1470 15475
1491 15475
1515 15471
1544 15471
1566 15475
1579 15479
1581 15482
1571 15489
1544 15497
1513 15496
1489 15485
1470 15468
1461 15443
1465 15422
1484 15408
1513 15405
1537 15412
1551 15418
.PEN_UP
.PEN_DOWN
1424 15606
1439 15603
1458 15609
1480 15619
1496 15629
1500 15633
1493 15636
1461 15640
1420 15634
1376 15626
1344 15622
1326 15620
1319 15622
.PEN_UP
.PEN_DOWN
1170 15639
1181 15625
1200 15615
1220 15612
1235 15616
1242 15632
1237 15649
1211 15662
1175 15672
1139 15673
1115 15669
1102 15656
1100 15646
1113 15633
1141 15630
.PEN_UP
.PEN_DOWN
680 15133
684 15121
679 15102
669 15070
649 15029
632 14988
619 14962
614 14948
.PEN_UP
.PEN_DOWN
617 15070
606 15066
595 15060
591 15059
589 15060
592 15070
609 15092
638 15118
682 15147
735 15162
787 15157
823 15133
832 15100
813 15070
775 15050
731 15040
691 15039
665 15045
656 15059
.PEN_UP
.PEN_DOWN
895 15137
891 15120
874 15097
852 15070
838 15049
834 15035
845 15029
878 15031
913 15043
941 15066
958 15090
965 15107
962 15123
.PEN_UP
.PEN_DOWN
1008 15079
997 15053
975 15013
941 14966
906 14919
882 14882
874 14865
876 14865
895 14886
918 14926
950 14983
997 15055
1050 15123
1091 15163
1117 15170
1133 15153
1126 15109
1109 15060
1082 15025
1056 15009
1033 15013
1015 15032
.PEN_UP
.PEN_DOWN
1302 15231
1304 15227
1297 15204
1270 15164
1239 15117
1213 15066
1195 15032
.PEN_UP
.PEN_DOWN
1291 15080
1309 15073
1335 15076
1362 15083
1383 15093
1391 15102
1384 15109
1355 15113
1319 15106
1287 15085
1265 15062
1252 15036
1254 15012
1276 14995
1313 14989
1352 14992
1376 14999
.PEN_UP
.PEN_DOWN
743 14761
758 14758
772 14764
776 14768
774 14775
754 14778
721 14771
682 14757
649 14731
627 14710
617 14698
621 14691
643 14697
671 14711
697 14727
713 14737
726 14741
732 14740
736 14731
727 14708
710 14678
682 14637
651 14590
624 14539
599 14490
586 14452
584 14436
595 14440
.PEN_UP
.PEN_DOWN
845 14767
845 14767
847 14767
847 14767
848 14767
851 14768
854 14771
