
.WRITER_ID David_Navi
.STYLE MIXED

.PEN_DOWN
529 15760
529 15760
531 15759
532 15754
534 15746
534 15728
538 15711
543 15685
553 15655
560 15632
558 15610
549 15599
540 15596
530 15605
520 15628
514 15662
508 15704
506 15748
504 15772
508 15780
519 15783
541 15782
572 15776
620 15766
677 15750
731 15731
761 15707
769 15681
761 15655
735 15626
690 15601
639 15582
581 15576
529 15580
498 15602
486 15619
491 15632
511 15635
.PEN_UP
.PEN_DOWN
889 15616
900 15623
909 15631
915 15641
918 15650
918 15662
915 15674
904 15687
890 15695
874 15695
853 15691
832 15675
817 15649
813 15616
823 15591
848 15574
878 15574
907 15586
937 15612
954 15641
956 15667
949 15694
933 15704
.PEN_UP
.PEN_DOWN
1162 15682
1164 15685
1164 15687
1160 15690
1153 15694
1143 15697
1132 15697
1117 15697
1102 15697
1091 15694
1082 15686
1076 15668
1081 15646
1087 15625
1091 15605
1093 15594
1093 15590
1091 15592
1087 15612
1080 15640
1072 15668
1063 15695
1059 15704
1057 15700
1054 15681
1055 15658
1055 15636
1059 15612
.PEN_UP
.PEN_DOWN
1259 15636
1267 15642
1271 15652
1271 15668
1267 15687
1258 15704
1248 15711
1231 15704
1212 15677
1201 15642
1203 15610
1221 15585
1242 15576
1263 15583
1284 15609
1286 15639
1275 15671
.PEN_UP
.PEN_DOWN
1584 15718
1586 15722
1585 15724
1577 15727
1562 15731
1537 15731
1505 15731
1466 15730
1427 15727
1402 15722
1394 15721
1393 15721
1394 15724
1398 15730
1406 15730
.PEN_UP
.PEN_DOWN
1477 15717
1475 15717
1475 15714
1475 15710
1477 15701
1481 15688
1488 15668
1496 15646
1504 15625
1514 15602
1516 15590
1520 15586
1523 15588
.PEN_UP
.PEN_DOWN
1631 15750
1635 15740
1640 15723
1643 15700
1651 15672
1664 15640
1678 15612
1689 15590
1691 15577
1691 15576
.PEN_UP
.PEN_DOWN
1735 15753
1736 15746
1741 15733
1747 15714
1756 15691
1768 15659
1781 15629
1789 15605
1794 15590
.PEN_UP
.PEN_DOWN
1779 15675
1778 15677
1764 15681
1741 15682
1710 15685
1674 15685
.PEN_UP
.PEN_DOWN
1893 15733
1893 15740
1886 15746
1884 15749
1883 15747
1882 15730
1884 15705
1892 15677
1907 15648
1927 15623
1940 15608
1946 15606
1955 15613
1964 15638
1967 15668
1970 15697
1970 15710
1972 15708
1978 15686
1984 15646
1987 15600
1986 15551
1976 15505
1954 15482
1933 15482
1912 15511
1904 15547
.PEN_UP
.PEN_DOWN
645 15334
646 15333
650 15338
651 15340
650 15340
651 15341
651 15343
651 15347
649 15348
646 15352
636 15351
621 15348
604 15341
587 15330
571 15312
557 15290
549 15269
547 15256
549 15249
556 15243
571 15243
586 15245
598 15250
606 15256
610 15259
609 15262
607 15263
598 15264
587 15263
574 15259
562 15253
549 15244
536 15233
525 15219
515 15200
508 15181
508 15167
510 15157
514 15151
521 15151
531 15151
546 15154
564 15160
581 15161
603 15165
624 15168
641 15170
.PEN_UP
.PEN_DOWN
776 15243
789 15256
806 15268
823 15276
838 15282
854 15285
868 15288
879 15284
883 15276
887 15263
881 15249
871 15232
855 15214
836 15200
819 15184
804 15174
793 15166
789 15160
786 15159
785 15158
785 15158
790 15164
806 15174
826 15194
852 15219
881 15243
913 15265
945 15278
970 15282
991 15282
1001 15275
1006 15268
1001 15253
986 15236
969 15222
950 15210
934 15200
917 15187
904 15177
894 15170
891 15167
890 15167
898 15168
920 15183
943 15200
969 15222
997 15247
1031 15268
1069 15280
1103 15285
1123 15285
1130 15278
1127 15266
1112 15249
1091 15236
1069 15226
1046 15210
1029 15194
1024 15181
1027 15171
1044 15167
1066 15166
1089 15169
1103 15177
