
.WRITER_ID Wally_Block
.STYLE MIXED

.PEN_DOWN
468 15614
471 15618
471 15617
473 15617
473 15614
473 15613
480 15614
495 15627
522 15648
553 15674
580 15705
599 15736
608 15765
610 15796
609 15824
606 15846
604 15853
602 15853
599 15839
588 15806
574 15763
568 15718
563 15677
564 15641
566 15619
571 15604
576 15593
577 15590
577 15590
577 15591
571 15603
564 15620
551 15641
533 15661
513 15682
493 15692
477 15693
466 15684
463 15672
466 15664
475 15654
493 15648
524 15641
558 15637
588 15634
609 15634
622 15637
633 15641
644 15647
.PEN_UP
.PEN_DOWN
735 15603
736 15603
734 15604
733 15603
738 15604
747 15614
762 15630
779 15650
792 15664
795 15674
795 15677
790 15679
781 15669
769 15650
761 15630
764 15613
771 15597
784 15587
799 15587
818 15590
833 15602
.PEN_UP
.PEN_DOWN
817 15756
813 15753
817 15745
.PEN_UP
.PEN_DOWN
913 15613
912 15611
915 15610
917 15610
927 15613
942 15627
964 15647
989 15674
1013 15705
1037 15737
1053 15766
1059 15792
1056 15809
1046 15816
1031 15805
1013 15775
995 15735
987 15695
988 15661
1002 15641
1024 15630
1051 15627
.PEN_UP
.PEN_DOWN
1115 15602
1113 15601
1114 15601
1124 15603
1142 15617
1167 15639
1197 15665
1227 15695
1251 15725
1268 15759
1278 15799
1278 15827
1275 15840
1273 15840
1262 15827
1247 15796
1235 15765
1229 15734
1226 15704
1231 15677
1239 15657
1251 15644
1263 15631
1273 15624
1275 15622
1276 15621
1276 15621
1275 15627
1276 15633
1277 15635
1277 15637
1278 15638
1277 15637
1277 15638
1277 15639
1278 15639
1278 15640
1280 15640
1283 15644
1287 15645
1289 15647
1291 15647
1293 15650
1295 15652
1297 15654
1300 15661
1302 15665
1302 15668
1302 15674
1299 15677
1298 15681
1294 15688
1291 15694
1287 15698
1282 15704
1277 15708
1273 15709
1271 15709
1270 15708
1269 15705
1269 15701
1273 15694
1279 15688
1293 15684
1306 15685
1321 15688
1333 15694
1342 15701
1344 15704
1347 15709
1348 15711
1351 15715
1353 15715
1362 15715
.PEN_UP
.PEN_DOWN
1399 15627
1397 15628
1396 15627
1395 15627
1397 15623
1404 15623
1420 15626
1437 15640
1456 15658
1469 15674
1476 15688
1475 15698
1469 15704
1458 15704
1442 15694
1428 15674
1420 15654
1420 15630
1431 15617
1453 15610
1477 15613
1502 15623
1522 15637
.PEN_UP
.PEN_DOWN
1593 15617
1593 15617
1595 15614
1599 15610
1604 15614
1616 15624
1626 15641
1639 15660
1653 15683
1664 15701
1671 15718
1673 15728
1675 15731
1677 15731
1682 15729
1693 15722
1708 15715
1721 15704
1728 15694
1731 15681
1726 15667
1717 15651
1711 15641
1709 15634
1708 15628
1715 15627
1724 15627
1739 15628
.PEN_UP
.PEN_DOWN
1831 15611
1831 15611
1833 15607
1836 15607
1838 15611
1846 15620
1859 15636
1873 15657
1891 15681
1908 15708
1925 15736
1939 15765
1944 15786
1944 15789
1940 15782
1931 15762
1919 15730
1911 15691
1909 15658
1913 15636
1922 15623
1933 15620
1949 15624
1958 15637
.PEN_UP
.PEN_DOWN
1864 15739
1857 15736
1864 15732
1879 15728
1909 15728
1946 15732
1984 15735
.PEN_UP
.PEN_DOWN
531 15348
531 15351
531 15353
531 15353
529 15353
527 15345
517 15333
504 15316
487 15296
470 15283
458 15277
453 15276
453 15280
464 15297
488 15317
517 15340
551 15364
579 15381
602 15387
612 15381
613 15364
602 15333
578 15289
548 15242
513 15197
480 15158
451 15128
431 15111
420 15100
418 15099
.PEN_UP
.PEN_DOWN
651 15365
642 15358
633 15341
619 15313
601 15276
579 15222
560 15164
551 15121
553 15101
555 15097
560 15101
568 15114
577 15131
577 15154
573 15175
