

.DATE 8 24 94
.STYLE CURSIVE
.COMMENT previously: .WRITER_ID jmhr.122
.WRITER_ID jmh
.HAND R
.AGE 21
.SEX M
.WRITER_INFO
	First name: Jimmy
	Last name: Hsu
	Where learned to write in cursive: Kansas City, Kansas, USA
	When learned to write in cursive: 7 years old, 2nd grade
	Usually writes in print or in cursive: cursive

.PEN_DOWN
232 733
227 733
227 738
219 741
214 743
180 748
166 748
146 743
124 733
97 714
71 690
46 663
22 631
5 602
0 573
5 543
15 521
24 504
36 495
58 497
85 504
112 519
139 538
158 560
178 585
190 609
197 631
195 655
188 675
180 694
175 714
166 726
154 736
144 741
129 738
119 733
110 724
100 709
95 694
97 677
102 665
112 653
124 643
146 638
178 638
210 643
244 651
271 660
290 673
305 685
.PEN_UP
.PEN_DOWN
361 568
366 570
375 575
385 577
392 582
424 597
434 599
441 597
441 592
439 582
434 565
424 546
412 524
397 502
388 487
390 482
397 485
410 495
422 507
439 521
456 543
470 563
488 582
505 599
519 609
531 612
534 604
531 594
527 582
522 565
517 548
512 531
514 519
522 512
534 512
549 516
570 524
595 536
617 551
639 565
663 580
683 592
705 599
727 607
744 614
766 621
785 626
800 629
802 629
797 626
790 624
780 619
766 616
748 612
731 604
714 594
702 585
692 570
687 555
685 541
685 526
690 512
697 502
709 495
729 490
756 492
785 499
814 509
841 526
865 546
885 565
904 585
922 604
934 624
936 636
934 646
926 646
914 643
902 638
890 631
878 621
870 609
861 594
851 580
846 565
844 551
848 536
863 526
887 519
922 514
961 514
.PEN_UP
.PEN_DOWN
1382 587
1378 587
1368 587
1358 592
1348 594
1319 597
1307 590
1295 573
1280 548
1263 519
1253 490
1256 470
1263 463
1275 468
1295 477
1319 492
1343 509
1368 531
1382 553
1392 565
1392 565
1387 558
1380 541
1373 524
1368 502
1373 480
.PEN_UP
.PEN_DOWN
1736 456
1746 460
1755 470
1765 480
1790 492
1855 548
1875 565
1894 587
1914 609
1929 629
1931 643
1926 651
1921 648
1911 641
1902 631
1890 619
1877 604
1870 585
1865 565
1860 543
1858 521
1853 499
1848 480
1846 463
1843 448
1836 431
1821 414
1799 390
1777 365
1755 341
1736 324
1724 321
1714 326
1709 336
1709 346
1707 358
1709 375
1716 390
1733 409
1758 434
1792 458
1831 487
1868 514
1902 538
1926 555
1946 570
1958 580
1968 590
1975 597
1980 604
1987 612
1994 614
1994 614
1992 609
1990 602
1987 592
1985 575
1982 555
1977 536
1975 516
1977 502
1985 495
1994 495
2014 502
2041 512
2065 529
2089 546
2109 565
2121 585
2128 597
2133 599
2136 594
2136 590
2136 580
2136 568
2136 555
2143 548
2153 548
2165 553
2185 560
2204 570
2224 587
2243 604
2260 621
2275 634
2287 641
2297 643
2309 643
2321 643
2333 638
2343 631
2348 624
2348 612
2343 602
2336 590
2326 575
2316 560
2306 543
2304 531
2306 519
2311 509
2321 504
2331 497
2345 492
2363 495
2380 499
2402 507
2424 516
2448 534
2472 551
2492 570
2506 585
2516 599
2523 609
2531 621
2533 631
2528 638
2521 643
2514 646
2506 643
2494 638
2484 626
2475 609
2465 587
2460 568
2460 548
2463 531
2472 519
2484 514
2504 516
2528 524
2560 534
2592 546
2621 563
2645 582
2665 604
2684 624
2699 638
2709 641
2714 636
2716 629
2716 621
2714 607
2711 592
2704 570
2694 541
2682 507
2667 473
2650 441
2631 412
2611 387
2594 363
2577 346
2565 334
2550 329
2538 324
2526 326
2519 331
2523 343
2533 365
2558 397
2587 429
2623 456
.PEN_UP
.PEN_DOWN
1955 763
1950 763
1941 763
1936 758
.PEN_UP
.PEN_DOWN
2936 465
2945 470
2950 473
2967 477
2984 487
3043 524
3060 536
3075 551
3092 568
3106 582
3111 597
3109 607
3104 607
3096 599
3087 592
3075 577
3065 563
3060 546
3065 534
3075 526
3087 524
3111 526
3138 534
3167 543
3196 558
3221 573
3243 587
3260 599
3274 614
3289 631
3301 651
3313 668
3323 675
3333 670
3338 660
3335 641
3333 619
3328 590
3318 560
3311 538
3301 519
3292 509
3282 512
3272 516
3257 526
3243 541
3228 553
3218 560
3216 555
3218 548
.PEN_UP
.PEN_DOWN
3082 733
3070 721
3060 712
3050 702
3040 694
.PEN_UP
.PEN_DOWN
3650 414
3657 421
3669 431
3687 451
3711 470
3774 526
3794 543
3813 565
3835 590
3855 616
3865 638
3869 658
3869 665
3867 660
3862 648
3855 629
3845 604
3838 577
3833 553
3833 531
3830 516
3825 502
3816 492
3799 487
3779 485
3757 485
3733 487
3716 492
3704 499
3706 512
3711 526
3718 536
3728 536
3735 529
3740 521
3745 512
3752 502
3762 495
3782 490
3808 487
3843 487
3882 487
3916 487
3947 490
3977 492
4001 499
4025 509
4047 524
4062 543
4072 563
4079 585
4079 609
4079 631
4074 648
4067 658
4055 660
4042 655
4028 651
4013 643
4003 634
3999 621
3994 604
3991 582
3989 555
3989 529
3991 504
3999 487
4016 477
4035 477
4057 482
4082 492
4106 507
4135 531
4164 558
4191 590
4216 621
4230 653
4245 685
4255 712
4262 738
4267 760
4267 782
4262 797
4257 804
4250 802
4238 794
4223 785
4211 772
4196 758
4186 741
4177 716
4167 690
4155 655
4140 619
4125 585
4116 555
4111 529
4113 507
4118 492
4133 480
4155 475
4179 475
4211 480
4240 485
4264 495
4286 507
4301 519
4313 534
4316 546
