


.DATE		07 ? 93
.STYLE		MIXED
.WRITER_ID	jhjung
.COUNTRY	Korea
.HAND		R
.AGE		23
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				JunHo
	Last name:				Jung
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	145 74
	144 77
	142 80
	139 83
	136 86
	133 88
	130 89
	127 91
	124 91
	121 90
	118 89
	115 88
	112 86
	109 84
	106 81
	103 79
	102 76
	100 73
	100 70
	99 67
	99 64
	99 60
	99 57
	99 54
	99 51
	99 48
	99 45
	99 41
	99 38
	100 35
	100 32
	103 29
	106 28
	109 27
	112 27
	115 26
	118 26
	121 27
	124 29
	127 31
	130 35
	133 38
	134 41
	136 44
	138 47
	139 50
	140 54
	141 57
	141 60
	141 63
	141 66
	142 69
	141 66
	140 63
	139 60
	139 57
	139 54
	139 51
	138 48
	138 44
	139 41
	139 38
	140 35
	141 32
	144 29
	147 29
	150 30
	153 32
	155 35
	157 38
	159 41
	161 44
	164 46
	167 48
	171 49
	174 50
	177 51
	180 52
	177 54
	174 55
	171 55
	168 55
	165 54
	162 53
	160 50
	159 47
	159 44
	159 41
	159 38
	160 35
	161 32
	164 30
	167 30
	170 30
	173 31
	176 33
	177 36
	179 39
	179 42
	180 45
	181 48
	181 51
	180 48
	180 45
	180 42
	180 39
	180 36
	180 32
	180 29
	180 26
	180 23
	179 19
	179 16
	179 13
	179 10
	178 7
	178 4
	177 1
	174 0
	171 2
	169 5
	168 8
	168 11
	169 15
	170 18
	171 21
	173 25
	175 28
	178 31
	180 34
	183 37
	185 40
	188 42
	191 46
	194 48
	194 45
	193 42
	193 39
	193 36
	193 33
	194 30
	197 28
	200 29
	203 31
	205 34
	207 37
	209 40
	210 43
	210 46
	210 49
	210 52
	209 55
	206 57
	203 57
	200 56
	198 53
	197 50
	197 47
	200 44
	203 44
	206 45
	209 46
	212 48
	215 50
	217 51
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	62 47
	65 47
	68 48
	71 50
	75 52
	78 55
	81 57
	84 59
	87 61
	87 58
	85 55
	84 52
	83 48
	81 45
	80 40
	79 37
	78 34
	77 31
	76 28
	75 25
	74 21
	72 18
	71 15
	70 12
	70 15
	71 18
	72 22
	73 25
	75 28
	76 31
	77 34
	78 37
	80 41
	82 44
	83 47
	85 50
	86 53
	89 56
	91 59
	94 62
	97 63
	100 64
	103 64
	106 63
	107 60
	107 57
	107 54
	106 51
	105 48
	103 45
	101 42
	98 39
	95 37
	92 36
	89 36
	86 35
	85 38
	88 40
	91 40
	94 40
	97 38
	99 35
	100 32
	100 29
	100 26
	100 23
	100 20
	99 17
	97 14
	95 11
	91 8
	88 6
	85 6
	82 6
	79 7
	76 9
	73 10
	70 11
	73 11
	76 9
	79 8
	82 6
	85 6
	88 6
	91 6
	94 6
	97 7
	100 8
	103 11
	106 13
	109 15
	112 17
	116 20
	119 22
	122 23
	125 25
	125 28
	122 27
	119 25
	116 23
	113 20
	111 17
	110 14
	110 11
	109 8
	110 5
	111 2
	114 0
	117 0
	119 3
	122 6
	124 9
	126 12
	127 15
	129 19
	129 22
	130 25
	131 27
.PEN_UP
.PEN_DOWN
	130 25
	129 22
	128 19
	128 16
	127 13
	127 10
	130 8
	133 8
	136 10
	139 12
	141 15
	144 18
	147 21
	150 23
	153 25
	150 25
	147 23
	144 21
	142 18
	141 15
	140 12
	139 9
	138 6
	138 3
	141 1
	144 0
	148 2
	151 3
	154 5
	157 8
	161 10
	164 13
	167 16
	170 20
	173 24
	176 28
	179 31
	180 36
	182 40
	183 43
	184 46
	185 50
	186 53
	183 52
	182 49
	180 46
	179 43
	178 39
	177 36
	177 33
	176 30
	175 27
	174 23
	173 20
	173 17
	172 14
	172 11
	171 7
	170 4
	171 7
	172 10
	173 13
	175 16
	177 20
	178 23
	181 25
	184 26
	187 26
	190 26
	190 23
	189 20
	187 17
	185 14
	182 12
	179 12
	176 14
	177 11
	179 8
	182 6
	184 3
	187 2
	190 0
	192 0
.PEN_UP
.PEN_DOWN
	74 42
	77 43
	81 46
	84 48
	86 51
	89 54
	91 57
	93 60
	91 55
	90 51
	89 48
	88 45
	87 42
	86 39
	86 36
	85 33
	84 29
	83 26
	82 23
	81 20
	80 17
	79 14
	79 11
	78 8
	76 5
	77 8
	77 11
	78 14
	79 17
	79 20
	80 23
	81 26
	82 29
	84 34
	85 37
	86 40
	88 43
	90 47
	92 51
	94 54
	97 57
	100 57
	103 56
	106 55
	109 52
	109 49
	109 46
	108 43
	107 40
	105 37
	104 34
	102 31
	99 29
	96 26
	93 25
	90 25
	87 26
	90 28
	93 28
	96 29
	99 28
	100 25
	101 22
	101 19
	100 16
	100 13
	99 10
	96 8
	93 6
	90 5
	87 4
	84 5
	81 6
	84 6
	87 6
	90 5
	93 5
	96 6
	99 7
	102 9
	105 11
	109 14
	112 17
	115 20
	117 23
	115 20
	114 17
	113 14
	112 11
	112 8
	112 5
	112 2
	115 0
	118 1
	121 3
	123 6
	124 9
	126 13
	126 17
	126 20
	124 23
	122 26
	119 25
	117 22
	116 19
	116 16
	116 13
	116 10
	119 8
	122 7
	125 6
	128 6
	131 6
	134 8
	137 9
	140 11
	143 15
	144 18
	145 21
	147 24
	147 27
	149 31
	149 34
	149 37
	149 34
	148 31
	147 28
	146 25
	145 21
	145 18
	145 15
	145 12
	145 9
	147 6
	150 5
	153 5
	156 6
	159 9
	163 15
	165 19
	167 23
	169 26
	172 29
	173 32
	174 35
	175 39
	175 42
	176 46
	176 49
	176 52
	176 55
	176 58
	174 55
	173 52
	172 49
	171 46
	170 42
	169 39
	168 35
	168 32
	167 28
	166 25
	165 22
	165 19
	164 16
	164 13
	163 9
	162 6
	160 3
	160 0
	160 3
	161 6
	161 9
	163 12
	165 15
	167 18
	169 21
	172 24
	175 26
	178 27
	181 27
	181 24
	179 20
	178 17
	177 14
	176 11
	176 8
	176 5
	179 3
	182 3
	185 3
	187 3
.PEN_UP
.PEN_DOWN
	140 24
	143 24
	146 24
	149 24
	152 25
	155 25
	155 24
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	86 48
	89 50
	93 53
	96 54
	99 57
	101 60
	103 63
	105 66
	105 63
	104 60
	104 57
	103 54
	102 50
	101 47
	100 44
	99 41
	99 38
	98 35
	97 31
	96 28
	95 23
	94 20
	93 17
	92 14
	91 10
	91 7
	89 4
	91 7
	92 10
	93 14
	94 17
	95 20
	96 24
	97 28
	98 31
	100 34
	100 37
	101 40
	102 43
	103 46
	104 49
	105 52
	106 55
	108 58
	111 60
	114 62
	117 63
	120 63
	123 63
	126 62
	129 60
	131 57
	132 54
	133 51
	134 48
	134 45
	134 42
	134 39
	133 36
	133 33
	133 30
	132 27
	131 24
	130 21
	129 18
	127 15
	125 12
	123 9
	121 6
	118 3
	115 2
	112 1
	109 1
	105 2
	102 2
	99 3
	96 5
	97 8
	100 9
	103 8
	106 6
	109 5
	112 4
	115 4
	118 3
	121 3
	124 4
	128 6
	131 7
	134 9
	137 10
	140 12
	143 14
	146 16
	149 18
	147 15
	146 12
	146 9
	145 6
	146 3
	149 1
	152 0
	155 0
	158 1
	161 3
	164 5
	165 8
	168 11
	169 14
	169 17
	169 20
	167 23
	164 25
	161 26
	158 26
	155 26
	152 24
	150 21
	150 18
	152 15
	155 14
	158 13
	161 13
	164 13
	167 14
	170 14
	173 15
	177 16
	180 17
	183 18
	186 18
	187 19
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	118 57
	117 60
	115 63
	112 65
	109 67
	106 67
	103 66
	100 65
	97 63
	93 61
	91 58
	88 55
	87 52
	87 49
	86 46
	87 43
	88 40
	89 37
	92 36
	95 35
	98 35
	101 35
	104 37
	105 40
	104 43
	101 43
	98 43
	95 42
	92 40
	91 37
	88 35
	86 32
	84 29
	83 26
	82 23
	81 20
	80 17
	80 14
	79 11
	79 8
	81 5
	83 2
	86 1
	89 0
	93 1
	96 1
	99 2
	102 3
	105 6
	107 9
	110 11
	113 14
	115 17
	117 20
	120 22
	122 25
	125 27
	127 30
	130 31
	133 33
	136 33
	136 30
	136 27
	135 24
	135 21
	134 18
	132 15
	131 12
	130 9
	129 6
	130 9
	132 12
	133 15
	135 20
	137 23
	138 26
	139 29
	141 32
	143 35
	146 36
	149 36
	150 33
	150 30
	149 27
	148 24
	147 21
	147 18
	146 15
	146 12
	146 9
	147 6
	150 5
	153 7
	156 9
	158 12
	159 15
	162 18
	164 21
	167 24
	170 26
	173 28
	176 30
	179 32
	182 32
	185 32
	188 32
	185 32
	182 32
	179 32
	176 30
	173 28
	171 25
	170 22
	170 19
	170 16
	170 13
	170 10
	171 7
	172 4
	175 2
	178 3
	181 4
	183 7
	185 10
	188 14
	189 17
	190 21
	191 24
	193 29
	195 32
	195 35
	196 38
	197 41
	198 44
	198 47
	199 50
	200 53
	201 56
	201 59
	200 56
	199 53
	197 50
	197 47
	196 42
	195 39
	194 36
	193 33
	193 30
	193 27
	192 24
	192 20
	192 17
	191 14
	191 11
	191 8
	192 5
	195 3
	197 2
.PEN_UP
.PEN_DOWN
	133 94
	132 97
	131 100
	128 101
	125 103
	122 105
	119 105
	116 106
	113 106
	110 105
	107 104
	104 103
	102 100
	99 97
	97 94
	95 91
	94 88
	93 85
	93 82
	93 79
	93 76
	94 73
	96 70
	98 67
	101 65
	104 64
	107 64
	110 65
	113 66
	114 69
	111 71
	108 71
	105 71
	102 71
	99 70
	96 68
	94 65
