


.DATE		08 ? 92
.STYLE		MIXED
.WRITER_ID	jwkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				JinWoo
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
	53 32
	56 35
	59 37
	62 39
	65 41
	68 41
	71 39
	73 36
	74 31
	74 27
	74 24
	74 20
	74 17
	73 13
	73 9
	72 6
	72 3
	71 0
	70 4
	69 7
	69 10
	69 13
	70 16
	71 20
	73 24
	75 27
	79 32
	82 35
	84 38
	87 41
	90 42
	92 39
	92 34
	92 31
	92 27
	92 23
	91 19
	91 16
	90 12
	90 9
	89 5
	89 2
	89 5
	89 9
	90 13
	90 16
	91 19
	92 23
	94 26
	95 30
	98 33
	102 37
	105 40
	108 43
	110 40
	110 36
	109 31
	108 27
	108 23
	107 20
	107 16
	107 13
	109 9
	112 6
	115 4
	118 4
	121 5
	122 7
.PEN_UP
.PEN_DOWN
	147 35
	146 38
	145 41
	142 42
	139 42
	136 39
	134 36
	132 33
	129 29
	127 24
	126 21
	125 17
	125 13
	125 10
	126 7
	130 5
	133 5
	136 7
	138 11
	140 16
	142 21
	143 26
	143 30
	144 33
	144 36
	144 40
	144 43
	144 40
	144 36
	144 31
	144 27
	145 24
	145 19
	146 15
	147 11
	149 7
	151 4
	154 7
	154 11
	155 16
	156 19
	156 22
	157 28
	158 32
	159 35
	161 38
	163 41
	166 43
	169 43
	171 40
	171 37
	171 33
	171 30
	171 25
	170 21
	169 18
	169 15
	168 18
	169 21
	169 24
	170 29
	171 32
	172 37
	174 40
	177 42
	180 42
	183 36
	184 32
	184 29
	184 24
	184 21
	185 17
	185 13
	185 10
	184 11
.PEN_UP
.PEN_DOWN
	70 49
	73 48
	76 48
	77 47
.PEN_UP
.PEN_DOWN
	70 39
	70 32
	71 29
	71 25
	71 21
	72 18
	72 15
	73 11
	73 6
	73 2
	73 0
.PEN_UP
.PEN_DOWN
	106 53
	103 54
	99 52
	95 49
	92 45
	90 42
	90 39
	90 36
	93 32
	94 29
	97 26
	100 22
	102 19
	103 15
	100 13
	96 14
	92 15
	88 16
	84 17
	82 17
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	89 35
	86 36
	83 38
	79 38
	76 37
	73 35
	70 32
	66 26
	65 23
	63 20
	62 17
	61 14
	61 10
	61 6
	62 3
	65 0
	68 0
	72 2
	76 5
	79 8
	81 12
	83 16
	85 20
	86 23
	85 20
	85 17
	85 13
	85 9
	86 6
	87 3
	90 3
	92 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	44 32
	47 36
	52 41
	56 44
	60 47
	63 47
	64 44
	65 41
	65 36
	65 33
	64 30
	64 27
	64 24
	64 21
	63 17
	62 11
	61 7
	61 4
	61 7
	63 12
	64 15
	65 18
	66 21
	67 24
	68 27
	70 32
	71 35
	73 38
	75 41
	78 40
	78 37
	78 33
	78 30
	78 25
	77 21
	77 18
	75 14
	75 11
	74 8
	75 12
	76 15
	77 18
	78 21
	80 26
	82 29
	83 32
	87 37
	90 40
	92 43
	95 45
	96 42
	96 38
	95 35
	95 32
	94 29
	94 26
	94 23
	94 20
	94 13
	94 10
	95 7
	96 3
	99 0
	102 2
	103 4
.PEN_UP
.PEN_DOWN
	115 35
	113 31
	111 27
	110 23
	110 19
	112 16
	115 14
	119 14
	122 15
	125 16
	127 20
	128 25
	128 32
	127 35
	126 38
	123 38
	119 39
	116 38
	112 37
	113 35
.PEN_UP
.PEN_DOWN
	144 46
	141 44
	140 41
	140 38
	141 35
	144 30
	146 26
	149 23
	151 20
	152 17
	152 13
	149 11
	146 11
	142 11
	138 11
	134 11
	130 11
	127 11
	124 12
	126 15
.PEN_UP
.PEN_DOWN
	151 32
	155 33
	158 34
	163 34
	167 34
	172 34
	177 33
	179 33
.PEN_UP
.PEN_DOWN
	167 46
	166 43
	166 40
	165 36
	164 32
	164 29
	164 25
	164 22
	164 18
	165 15
	167 9
	170 7
	173 7
.PEN_UP
.PEN_DOWN
	100 75
	97 77
	94 77
	91 77
	89 74
	89 70
	87 63
	87 59
	87 54
	87 49
	87 44
	87 38
	86 33
	86 28
	86 23
	85 18
	85 14
	85 11
	85 5
	84 1
	81 0
	78 2
	75 8
	74 12
	72 15
.PEN_UP
.PEN_DOWN
	74 29
	78 28
	81 27
	85 26
	88 26
	92 26
	95 26
	98 26
	101 27
	103 30
.PEN_UP
.PEN_DOWN
	121 21
	126 22
	129 23
	133 25
	136 27
	139 31
	139 34
	139 37
	138 40
	135 41
	132 40
	129 36
	126 33
	124 29
	122 26
	121 23
	120 20
	120 16
	120 12
	121 9
	124 6
	127 6
	130 6
	134 6
	138 8
	142 10
	146 12
	150 15
	153 18
	156 22
	157 25
	159 29
	161 33
	162 36
	162 39
	162 42
	159 44
	156 43
	153 40
	150 36
	148 32
	147 28
	146 24
	146 20
	147 17
	150 14
	153 11
	156 8
	162 6
	165 6
	168 7
	171 10
	171 12
.PEN_UP
.PEN_DOWN
	187 69
	186 63
	185 56
	185 52
	184 48
	184 43
	184 38
	184 34
	183 29
	183 25
	183 21
	183 18
	182 15
	182 12
	182 9
	180 12
	180 16
	180 21
	180 24
	182 28
	185 31
	188 32
	191 32
	194 31
	196 28
	197 23
	197 20
	196 17
	195 14
	192 11
	188 10
	185 9
	182 10
	179 10
	181 11
.PEN_UP
.PEN_DOWN
	199 3
	201 6
	203 9
	207 12
	210 17
	211 20
	214 28
	216 33
	217 37
	218 42
	219 46
	220 51
	220 54
	221 57
	221 60
	220 63
	217 63
	213 59
	210 55
	209 52
	207 45
	206 41
	205 37
	205 32
	205 27
	205 23
	205 19
	205 16
	206 12
	207 9
	210 5
	214 2
	217 1
	221 1
	224 3
	227 5
	229 8
	230 12
	231 16
	231 20
	230 23
	227 25
	224 22
	224 18
	225 15
	227 12
	230 10
	235 9
	238 9
	239 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	60 23
	63 27
	66 31
	68 34
	71 37
	75 41
	81 45
	84 46
	87 46
	89 42
	89 37
	89 33
	88 25
	88 22
	87 19
	86 16
	84 11
	83 8
	82 5
	80 2
	80 5
	83 13
	84 18
	86 22
	87 25
	88 28
	89 31
	92 36
	94 39
	98 43
	101 45
	104 43
	105 40
	105 37
	105 31
	106 28
	106 25
	106 20
	107 17
	108 14
	108 11
	111 9
	114 9
	116 10
.PEN_UP
.PEN_DOWN
	139 37
	137 40
	133 40
	130 38
	126 34
	122 30
	120 27
	119 24
	118 21
	117 14
	118 10
	121 7
	125 7
	128 9
	131 11
	134 15
	135 20
	136 23
	136 26
	137 29
	137 33
	137 37
	138 33
	139 29
	139 26
	139 23
	142 16
	144 13
	147 10
	149 11
.PEN_UP
.PEN_DOWN
	153 28
	157 28
	161 28
	164 29
	170 29
	175 29
	179 30
	181 30
.PEN_UP
.PEN_DOWN
	166 42
	166 37
	167 34
	167 30
	167 26
	168 23
	168 19
	168 15
	168 9
	169 5
	172 3
	174 6
	175 9
	176 10
.PEN_UP
.PEN_DOWN
	190 38
	190 32
	189 28
	189 24
	189 20
	189 17
	189 13
	190 8
	191 5
	194 4
	197 7
	198 10
	199 13
	200 16
	201 19
	202 22
	204 29
	205 33
	206 36
	208 39
	210 34
	210 29
	210 25
	210 22
	210 19
	210 14
	210 11
	213 9
.PEN_UP
.PEN_DOWN
	230 24
	230 19
	230 15
	230 12
	230 9
	231 6
	232 9
	233 14
	233 17
	233 20
	234 24
	235 27
	236 30
	239 34
	242 36
	246 38
	249 38
	252 38
	254 34
	254 32
.PEN_UP
.PEN_DOWN
	257 3
	260 5
	264 10
	268 14
	270 20
	272 23
	272 26
	272 29
	272 33
	268 35
	264 33
	261 29
	259 25
	258 22
	257 18
	257 14
	257 11
	257 8
	259 3
	262 0
	266 0
	269 0
	272 0
	276 1
	280 3
	282 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	73 91
	77 91
	80 91
	83 91
	88 91
	91 91
	94 91
	97 91
	97 92
.PEN_UP
.PEN_DOWN
	84 105
	83 102
	81 94
	80 90
	78 86
	77 81
	76 77
	75 72
	74 68
	74 65
	73 61
	73 57
	73 54
	74 49
	75 46
	78 44
	81 45
	86 50
	87 52
.PEN_UP
.PEN_DOWN
	102 108
	102 105
	102 101
	102 96
	102 91
	101 80
	101 74
	100 68
	99 62
	98 56
	97 52
	96 48
	96 45
	95 42
	94 39
	96 43
	97 46
	98 49
	100 53
	101 57
	104 64
	106 68
	108 71
	111 75
	114 76
	117 76
	118 73
	119 69
	119 66
	119 63
	119 59
	118 56
	118 53
	118 50
	118 46
	120 49
.PEN_UP
.PEN_DOWN
	131 74
	134 75
	137 75
	140 76
	142 77
.PEN_UP
.PEN_DOWN
	129 63
	129 59
	129 55
	130 51
	131 48
	134 45
	137 44
	140 46
	142 49
	143 53
	144 56
	145 59
	146 62
