


.DATE		08 ? 92
.STYLE		PRINTED
.WRITER_ID	scoh
.COUNTRY	Korea
.HAND		R
.AGE		27
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Sechang
	Last name:				Oh
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	37 30
	39 33
	42 36
	46 39
	50 42
	54 43
	58 44
	61 44
	63 38
	62 35
	62 32
	60 28
	59 25
	58 21
	56 18
	53 17
	49 13
	49 10
	45 7
	43 4
	42 9
	45 13
	46 16
	49 19
	52 22
	57 26
	58 29
	61 31
	64 32
	67 35
	70 36
	72 33
	71 26
	69 22
	67 19
	65 16
	64 13
	65 16
	66 19
	70 22
	73 28
	75 32
	77 35
	81 36
	81 33
	81 30
	82 27
	83 24
	86 22
	89 22
	92 23
	96 26
	101 30
	106 34
	109 35
	112 37
	115 38
	115 34
	112 30
	109 25
	106 21
	101 17
	98 15
	95 10
	95 7
	93 3
	93 0
	96 0
	100 2
	104 4
	107 7
	110 10
	111 13
	114 17
	115 21
	115 25
	115 28
	115 31
	113 28
	113 25
	112 21
	112 18
	112 15
	112 12
	113 9
	115 6
	118 7
	121 8
	124 11
	126 15
	130 20
	134 23
	138 26
	142 30
	145 30
	146 27
	146 23
	146 20
	143 15
	140 13
	137 10
	140 13
	143 14
	147 17
	153 20
	159 23
	163 25
	164 22
	162 18
	161 15
	161 11
	161 8
	164 5
	167 2
	171 2
	175 2
	180 2
.PEN_UP
.PEN_DOWN
	49 4
	52 6
	54 9
	57 10
	63 14
	65 17
	69 20
	72 21
	75 23
	76 26
	75 23
	72 18
	70 14
	69 10
	69 7
	69 3
	73 2
	76 3
	80 6
	86 9
	91 14
	97 18
	101 20
	103 23
	107 26
	109 29
	111 25
	111 20
	111 16
	110 12
	109 9
	109 6
	107 3
	104 1
	100 0
	97 1
	94 4
	94 7
	92 10
	95 9
	96 6
	97 3
	100 3
	103 3
	107 3
	110 3
	115 5
	118 5
	121 5
	124 6
.PEN_UP
.PEN_DOWN
	72 37
	73 33
	74 33
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	57 6
	60 7
	65 11
	69 14
	74 17
	76 21
	80 23
	83 27
	87 32
	93 34
	96 36
	98 39
	103 43
	104 46
	106 49
	107 52
	107 55
	109 58
	110 62
	107 58
	105 54
	103 48
	101 45
	100 38
	98 35
	97 31
	96 27
	96 22
	96 19
	96 15
	97 12
	99 6
	102 2
	105 0
	108 0
	112 1
	118 4
	124 7
	127 9
	131 12
	134 14
	137 16
	139 19
	143 22
	145 25
	147 28
	149 31
	155 36
	157 39
	160 43
	163 46
	165 50
	166 53
	166 57
	166 60
	163 63
	159 63
	156 61
	153 60
	149 58
	146 55
	144 52
	141 49
	140 44
	136 40
	135 37
	133 34
	130 29
	127 24
	125 20
	121 19
	118 15
	115 12
	113 9
	111 6
	111 3
	114 6
	118 8
	121 11
	124 13
	127 15
	130 17
	134 20
	137 21
	140 21
	141 18
	141 15
	143 12
	143 8
	146 7
	149 6
	152 6
	156 7
	159 7
	163 9
	167 11
	170 12
	171 15
	172 18
	169 20
	165 21
	161 21
	158 21
	155 19
	152 17
	152 14
	152 11
	153 8
	155 4
	158 2
	161 1
	164 0
	167 0
	170 0
	173 0
	178 0
	181 1
	182 1
.PEN_UP
.PEN_DOWN
	70 43
	73 43
	78 42
	87 41
	93 40
	96 40
	102 40
	108 39
	112 37
	113 35
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	45 47
	49 49
	56 51
	63 53
	67 55
	70 56
	75 59
	80 63
	85 67
	88 72
	90 76
	94 81
	95 86
	97 90
	98 94
	99 97
	100 100
	100 103
	99 106
	96 108
	94 105
	91 102
	88 97
	85 94
	82 92
	81 85
	78 82
	76 78
	75 74
	72 70
	71 66
	69 63
	67 59
	65 55
	64 52
	62 47
	60 44
	58 36
	58 30
	56 26
	54 23
	54 20
	54 16
	52 13
	52 10
	52 7
	53 3
	53 0
	56 1
	60 5
	63 9
	65 12
	68 19
	70 23
	70 27
	70 30
	70 33
	69 36
	66 39
	64 42
	64 46
	61 47
	59 50
	59 54
	61 51
	64 50
	68 50
	72 50
	78 51
	82 51
	87 52
	91 52
	96 53
	99 54
	103 55
	108 57
	111 59
	113 62
	113 65
	112 70
	109 72
	106 73
	103 73
	99 73
	94 71
	92 67
	92 63
	92 59
	93 55
	95 52
	96 49
	98 46
	101 43
	105 42
	109 42
	113 42
	118 44
	122 46
	125 47
	129 49
	132 51
	135 53
	137 56
	139 59
	139 62
	137 65
	133 67
	129 68
	124 66
	123 63
	122 60
	122 57
	125 54
	127 51
	131 49
	134 48
	140 46
	144 46
	149 46
	157 48
	161 51
	164 52
	167 54
	171 58
	173 61
	176 64
	177 67
	181 72
	184 76
	186 79
	187 82
	189 86
	191 91
	191 94
	191 98
	191 101
	191 104
	189 107
	186 109
	184 105
	182 101
	181 97
	179 91
	178 87
	177 84
	177 81
	176 78
	175 72
	173 69
	173 64
	172 61
	171 56
	171 53
	171 48
	171 44
	172 40
	172 37
	175 34
	178 34
	179 37
	182 39
	184 43
	185 46
	185 49
	186 52
	186 55
	190 55
	193 55
	196 55
	199 55
	203 55
	206 55
	209 56
	212 57
	215 58
	219 61
	222 61
	226 63
	228 66
	230 69
	231 72
	234 74
	238 77
	240 80
	242 83
	243 86
	243 89
	244 92
	244 95
	243 98
	240 100
	237 101
	234 99
	231 96
	228 91
	226 88
	224 84
	222 80
	220 75
	217 70
	216 67
	215 62
	214 59
	213 55
	213 51
	213 47
	213 44
	215 41
	218 37
	221 36
	226 36
	229 36
	234 37
	237 38
	240 40
	243 41
	247 44
	251 49
	253 52
	254 55
	254 58
	252 61
	249 63
	246 63
	243 63
	240 63
	238 60
	236 55
	236 52
	236 49
	239 46
	242 42
	246 39
	249 38
	252 38
	256 38
	261 38
	264 39
	267 39
	270 40
	273 40
	277 40
	280 41
.PEN_UP
.PEN_DOWN
	54 44
	57 47
	61 51
	66 55
	72 59
	75 65
	80 69
	83 73
	87 76
	90 80
	94 84
	96 87
	99 91
	103 95
	104 98
	104 101
	105 104
	102 101
	100 96
	98 93
	96 88
	95 84
	94 80
	94 77
	93 74
	93 71
	93 67
	93 64
	94 57
	97 55
	98 51
	101 49
	104 48
	107 48
	111 49
	117 51
	121 52
	124 54
	128 56
	132 59
	136 61
	140 63
	142 67
	146 71
	149 74
	151 77
	155 83
	157 86
	160 90
	160 94
	160 98
	160 101
	156 105
	153 107
	150 107
	145 105
	142 102
	140 99
	134 92
	131 89
	130 86
	129 83
	127 79
	126 76
	124 73
	124 70
	122 67
	120 64
	120 61
	117 57
	114 54
	112 50
	109 48
	107 45
	104 43
	106 46
	112 50
	116 53
	120 55
	125 57
	128 58
	133 61
	136 63
	139 65
	143 66
	143 63
	143 59
	142 56
	142 53
	144 50
	147 50
	152 50
	155 51
	159 53
	166 55
	171 57
	174 58
	177 59
	180 61
	182 64
	178 60
	177 57
	177 54
	178 51
	181 50
	185 50
	188 50
	191 52
	194 52
	198 54
	202 55
	205 56
	208 59
	211 61
	214 62
	216 59
	217 56
	216 53
	214 50
	212 47
	214 51
	218 54
	222 57
	225 59
	228 60
	232 61
	235 63
	238 63
	242 63
	242 60
	240 57
	238 54
	237 51
	238 48
	241 46
	244 46
	248 47
	251 48
	254 49
	257 49
	262 51
	267 53
	271 54
	274 56
	277 59
	274 61
	270 61
	267 59
	262 57
	259 54
	258 51
	256 48
	254 44
	254 40
	258 39
	261 39
	265 40
	267 44
	271 45
	273 48
	276 51
	279 54
	280 57
	279 54
	278 51
	278 48
	276 44
	274 39
	273 36
	272 33
	268 28
	267 25
	264 22
	260 18
	256 14
	253 11
	249 8
	247 5
	243 3
	239 1
	236 0
	235 3
	238 8
	240 13
	243 17
	246 19
	249 22
	252 23
	257 24
	260 25
	266 25
	269 25
	275 25
	280 25
	285 25
	290 25
	294 27
	295 28
.PEN_UP
.PEN_DOWN
	72 80
	76 80
	81 81
	86 81
	90 81
	93 81
	96 81
	101 81
	104 81
	107 81
	107 82
.PEN_UP
.PEN_DOWN
	173 85
	174 82
	175 79
	176 76
	178 76
.PEN_UP
.PEN_DOWN
	40 1
	43 3
	45 6
	49 9
	52 12
	55 15
	59 19
	62 21
	65 22
	66 25
	68 28
	70 31
	70 28
	68 24
	67 20
	65 15
	65 12
	64 9
	63 6
	63 3
	65 0
	68 0
	71 2
	75 5
	76 8
	79 10
	84 15
	87 19
	90 23
	92 26
	94 30
	96 33
	98 36
	101 39
	104 41
	107 41
	108 38
	108 33
	107 29
	107 25
	104 23
	103 20
	101 16
	99 13
	97 10
	94 8
	91 6
	93 9
	97 13
	99 16
	100 19
	103 22
	106 25
	108 28
	109 31
	112 33
	115 37
	118 38
	121 39
	124 38
	124 35
	124 32
	123 28
	121 24
	121 21
	120 18
	120 15
	121 12
	121 9
	124 8
	127 8
	130 10
	133 12
	136 14
	137 14
.PEN_UP
.PEN_DOWN
	61 56
	63 53
	64 50
	64 47
	64 44
	65 46
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	39 10
	42 10
	45 13
	48 16
	52 20
	57 23
	61 25
	65 27
	67 30
	67 26
	63 22
	62 18
	61 13
	61 10
	62 7
	65 6
	69 7
	72 8
	76 10
	80 10
	84 13
	88 15
	91 16
	95 19
	98 22
	103 25
	106 28
	109 30
	109 33
	112 35
	115 38
	118 42
	118 39
	117 35
	116 30
	115 26
	113 22
	113 19
	112 16
	111 13
	109 10
	108 7
	105 5
	101 2
	98 1
	95 1
	91 1
	88 3
	85 4
	85 7
	85 10
	88 12
	91 12
	94 10
	97 8
