.WRITER_ID	anc
.STYLE		MIXED

.DATE		11 10 92
.HAND		R
.SKILL		BAD
.COUNTRY	UK
.SEX		M
.WRITER_INFO
         Place of Residence:	UK
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
2129 2793
2112 2797
2108 2797
2108 2793
2100 2793
2095 2793
2087 2784
2083 2784
2083 2776
2074 2776
2074 2772
2066 2772
2066 2763
2066 2759
2066 2751
2074 2751
2083 2746
2087 2746
2095 2746
2095 2751
2100 2751
2108 2759
2112 2759
2112 2763
2121 2763
2129 2772
2129 2776
2133 2776
2133 2784
2142 2793
2142 2797
2142 2793
2142 2784
2142 2776
2142 2772
2142 2763
2142 2759
2146 2759
2146 2751
2146 2746
2154 2746
2158 2746
2167 2746
2171 2746
2179 2751
2188 2759
2192 2763
2200 2772
2205 2776
2213 2784
2217 2793
2226 2797
2234 2797
2238 2805
2247 2805
2251 2805
2259 2805
2263 2805
2259 2805
2251 2805
2247 2805
2238 2805
2234 2797
2226 2797
2217 2797
2213 2793
2205 2793
2205 2784
2200 2776
2192 2772
2192 2763
2188 2759
2188 2751
2192 2746
2192 2738
2192 2734
2200 2734
2205 2734
2205 2738
2213 2738
2217 2746
2226 2751
2234 2759
2234 2763
2238 2772
2247 2776
2251 2793
2259 2797
2259 2809
2263 2818
2263 2822
2272 2839
2272 2843
2280 2851
2280 2864
2280 2868
2284 2877
2284 2885
2284 2889
2280 2885
2280 2877
2280 2868
2280 2864
2280 2856
2272 2851
2272 2843
2272 2830
2263 2822
2263 2818
2263 2809
2259 2805
2259 2793
2259 2784
2259 2776
2259 2772
2259 2763
2259 2759
2263 2759
2272 2763
2280 2763
2280 2772
2284 2772
2293 2776
2297 2784
2305 2793
2305 2797
2310 2797
2310 2793
2310 2784
2310 2776
2310 2772
2310 2763
2318 2763
2318 2759
2318 2751
2322 2751
2322 2746
2331 2746
2331 2751
2339 2751
2339 2759
2343 2763
2343 2772
2343 2776
2343 2784
2352 2784
2352 2793
2352 2797
2352 2805
2352 2809
2352 2818
2356 2818
2356 2809
2364 2809
2368 2809
2377 2809
2377 2805
2385 2805
2389 2805
2398 2805
2402 2805
2410 2797
2415 2805
2415 2797
2423 2797
2431 2797
2436 2797
2436 2805
2444 2805
2448 2805
2457 2805
2448 2805
2444 2805
2436 2805
2431 2805
2431 2797
2423 2797
2415 2797
2410 2793
2402 2793
2402 2784
2398 2776
2398 2772
2402 2763
2410 2763
2415 2763
2423 2763
2423 2772
2431 2772
2436 2772
2444 2776
2448 2784
2448 2793
2457 2793
2457 2797
2457 2793
2457 2784
2457 2776
2457 2772
2457 2763
2461 2763
2469 2759
2473 2759
2482 2759
2490 2759
2490 2763
2494 2763
2503 2772
2507 2772
2507 2776
2515 2776
2515 2784
2520 2784
2520 2793
2520 2784
2515 2784
2515 2776
2515 2772
2515 2763
2515 2772
2520 2772
2520 2776
2528 2784
2536 2793
2541 2797
2549 2797
2549 2805
2553 2797
2553 2793
2553 2784
2553 2776
2553 2772
2562 2772
2562 2763
2566 2763
2574 2763
2574 2759
2583 2763
2587 2763
2587 2772
2595 2772
2599 2776
2599 2784
2608 2784
2612 2797
2612 2805
2620 2809
2625 2822
2625 2830
2633 2839
2633 2851
2641 2864
2641 2868
2641 2877
2646 2889
2646 2898
2646 2902
2646 2910
2646 2914
2646 2923
2646 2914
2646 2910
2641 2902
2641 2898
2641 2889
2633 2885
2633 2877
2633 2864
2625 2856
2625 2843
2625 2839
2620 2822
2620 2818
2620 2809
2620 2805
2612 2797
2612 2793
2612 2784
2612 2776
2620 2772
2625 2772
2633 2772
2641 2776
.PEN_UP
.PEN_DOWN
