.WRITER_ID	sjh
.STYLE		MIXED

.DATE		11 10 92
.HAND		R
.SKILL		BAD
.COUNTRY	UK
.SEX		M
.WRITER_INFO
         Place of Residence:	UK
.PEN_DOWN
281 2822
273 2822
268 2822
260 2822
256 2830
247 2830
239 2830
235 2822
226 2822
222 2822
214 2822
214 2818
210 2818
201 2809
193 2805
193 2797
193 2793
193 2784
193 2776
193 2772
201 2772
201 2763
210 2763
210 2759
214 2759
222 2751
226 2751
235 2751
239 2759
247 2759
247 2763
256 2763
256 2772
256 2776
260 2784
260 2793
260 2797
268 2805
268 2809
268 2818
268 2822
268 2830
268 2822
268 2818
268 2809
268 2805
268 2797
268 2793
268 2784
273 2776
273 2772
273 2763
273 2759
281 2751
285 2746
294 2738
298 2746
306 2746
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP

.PEN_DOWN
1470 2423
1461 2436
1461 2444
1457 2444
1449 2444
1444 2444
1436 2444
1432 2444
1423 2444
1419 2436
1411 2431
1402 2423
1398 2415
1398 2410
1390 2402
1390 2398
1390 2389
1386 2385
1386 2377
1390 2368
1390 2364
1398 2364
1398 2356
1402 2356
1411 2356
1419 2364
1423 2364
1432 2368
1436 2377
1436 2385
1444 2385
1444 2389
1449 2398
1449 2402
1449 2410
1449 2415
1457 2415
1457 2423
1457 2431
1461 2431
1461 2423
1461 2415
1461 2410
1461 2402
1470 2398
1470 2389
1478 2385
1478 2377
1478 2368
1482 2368
1482 2364
.PEN_UP
.PEN_DOWN
1507 2515
1516 2482
1516 2473
1516 2461
1516 2457
1516 2448
1507 2444
1507 2431
1507 2423
1507 2415
1507 2410
1507 2402
1507 2389
1516 2385
1516 2377
1524 2377
1524 2368
1528 2368
1528 2364
1537 2364
1541 2364
1549 2364
1554 2364
1562 2364
1570 2368
1575 2368
1575 2377
.PEN_UP
.PEN_DOWN
1549 2482
1549 2444
1549 2436
1549 2423
1549 2415
1549 2410
1549 2402
1549 2389
1549 2385
1549 2377
1549 2368
1549 2364
1549 2356
1554 2352
1554 2343
1562 2343
1570 2339
1575 2339
1583 2339
1587 2339
1596 2339
1600 2343
1608 2343
1612 2343
1621 2352
1629 2352
1629 2356
1633 2356
1633 2364
1642 2364
1642 2368
.PEN_UP
.PEN_DOWN
1554 2389
1549 2389
1554 2389
1562 2389
1570 2389
1575 2389
1583 2398
1587 2398
1596 2398
1600 2398
1608 2398
.PEN_UP
.PEN_DOWN
1612 2398
1642 2389
1646 2389
1654 2389
1659 2389
1667 2398
1675 2398
1675 2402
1675 2410
1667 2410
1667 2415
1659 2415
1654 2415
1646 2415
1642 2415
1633 2415
1629 2415
1621 2415
