.INCLUDE pri/pri.doc
.WRITER_ID 159

.DATE 9 30 94


.PEN_DOWN
	473 5111
	474 5111
	474 5111
	476 5111
	477 5111
	479 5111
	482 5111
	484 5112
	487 5115
	489 5117
	491 5120
	493 5123
	494 5127
	495 5129
	495 5130
	495 5134
	495 5137
	493 5138
	489 5138
	482 5137
	474 5135
	466 5128
	457 5119
	448 5109
	438 5095
	430 5080
	424 5065
	420 5052
	419 5041
	421 5034
	426 5031
	436 5032
	449 5038
	465 5048
	480 5064
	496 5085
	510 5105
	523 5123
	533 5139
	541 5153
	547 5160
	555 5162
	561 5160
	569 5150
	577 5132
	588 5112

.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
	1991 4069
	1996 4076
	2004 4088
	2014 4107
	2027 4132
	2039 4159
	2050 4186
	2058 4211
	2064 4233
	2067 4251
	2069 4264
	2069 4273
	2067 4277
	2063 4277
	2056 4274
	2048 4265
	2039 4251
	2030 4231
	2021 4205
	2014 4176
	2009 4145
	2009 4114
	2013 4087
	2021 4064

.PEN_DOWN
0 0

.PEN_DOWN
0 0

.PEN_DOWN
	4415 4110
	4415 4111
	4415 4114
	4415 4118
	4414 4123
	4411 4128
	4406 4132
	4400 4134
	4391 4134
	4382 4132
	4372 4127
	4361 4117
	4351 4105
	4342 4089
	4336 4072
	4334 4056
	4334 4043
	4337 4034
	4344 4028
	4354 4027
	4365 4029
	4377 4035
	4388 4044
	4397 4056
	4405 4071
	4411 4086
	4414 4103
	4414 4118

.PEN_DOWN
	5203 4224
	5203 4219
	5203 4208
	5200 4191
	5193 4167
	5184 4139
	5173 4104
	5161 4066
	5148 4027
	5136 3990
.PEN_UP
	5127 3958
	5101 3856
	5102 3856
	5106 3857
	5111 3861
	5116 3870
	5121 3883
	5124 3899
	5127 3917
	5130 3939
	5130 3962
	5128 3987
	5125 4013
	5119 4038
	5113 4063
	5106 4086
	5100 4108
.PEN_DOWN
	5083 4190
	5084 4191
	5087 4195
	5092 4200
	5099 4207
	5108 4212
	5118 4216
	5129 4217
	5141 4214
	5153 4208
	5167 4200
	5180 4190
	5192 4181
	5205 4171
	5215 4159
	5223 4148
	5227 4138
	5227 4128
	5225 4119
	5219 4113
	5210 4108
	5198 4105

.PEN_DOWN
0 0
.PEN_UP
0 0
.PEN_DOWN
0 0

.PEN_DOWN
	6472 4147
	6473 4140
	6474 4128
	6476 4112
	6476 4092
	6476 4070
	6476 4048
	6476 4028
	6476 4013
	6476 4001
	6477 3994
	6480 3993
	6484 3998
	6489 4008
	6496 4023
	6504 4042
	6512 4063
	6523 4086
	6535 4109
	6549 4131
	6565 4152

.PEN_DOWN
0 0

.PEN_DOWN
	1335 3236
	1331 3237
	1321 3237
	1304 3236
	1283 3234
	1259 3229
	1233 3224
	1206 3218
.PEN_UP
	1181 3213
	1098 3197
	1098 3197
	1099 3200
	1104 3204
	1113 3209
	1125 3215
	1141 3221
	1160 3228
	1181 3235
	1207 3242
	1238 3251
	1274 3258
	1313 3267
	1353 3276
	1396 3282
	1446 3289
	1497 3296
	1547 3300
	1595 3306
	1639 3310
	1683 3313
	1728 3317
	1770 3322
	1810 3328
	1849 3337
	1884 3347
	1917 3357
	1948 3366
	1977 3371
	2005 3376
	2031 3377
	2054 3377
	2075 3375
	2094 3372
	2110 3370
	2121 3365
	2130 3358
	2136 3351
	2139 3342
	2139 3333
	2136 3321
	2131 3310
	2125 3301
	2117 3292
	2110 3286
	2100 3282
	2089 3281
	2079 3281
	2068 3281
	2059 3281
	2050 3281
	2042 3279
	2036 3278
	2031 3276
	2028 3275
	2026 3275
	2027 3275
	2031 3278
	2035 3283
	2043 3287
	2051 3292
	2060 3300
	2067 3306
	2075 3312
	2083 3316
	2090 3320
	2098 3324
	2104 3330
	2111 3335
	2115 3342
	2118 3347
	2119 3349
	2118 3349
	2116 3346
	2113 3340
	2110 3330
	2105 3318
	2100 3304
	2094 3290
	2084 3277
	2072 3264
	2061 3252
	2049 3243
	2035 3234
	2020 3226
	2005 3219
	1991 3213
	1978 3209
	1967 3207
	1959 3206
	1952 3206
	1946 3205
	1941 3205
	1938 3205
	1936 3207
	1936 3209
