.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Handprinted Characters

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY CHARACTER
.STYLE PRINTED

.COMMENT previously: .WRITER_ID GSAA4519
.WRITER_ID gs

.PEN_DOWN
2351 2208 150000
2345 2208 150015
2347 2208 150030
2347 2210 150045
2353 2218 150060
2375 2240 150075
2403 2270 150090
2443 2298 150105
2483 2308 150120
2508 2308 150135
2528 2306 150150
2534 2300 150165
2536 2296 150180
2536 2296 150195
2536 2294 150210
2526 2294 150225
2508 2290 150240
2487 2290 150255
2475 2286 150270
2449 2268 150285
2423 2238 150300
2417 2214 150315
2415 2192 150330
2425 2180 150345
2467 2174 150360
2508 2178 150375
2536 2190 150390
2560 2206 150405
2576 2230 150420
2594 2254 150435
2604 2272 150450
2606 2284 150465
2606 2286 150480
2596 2286 150495
2586 2284 150510
2582 2278 150525
2580 2274 150540
2578 2264 150555
2578 2242 150570
2576 2192 150585
2574 2142 150600
2576 2098 150615
2576 2050 150630
2582 2000 150645
2582 1975 150660
2584 1961 150675
2584 1959 150690
2570 1963 150705
2548 1979 150720
2530 2004 150735
2518 2022 150750
2516 2046 150765
2528 2070 150780
2560 2098 150795
2604 2134 150810
.PEN_UP
