.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Handprinted Characters

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY CHARACTER
.STYLE PRINTED

.COMMENT previously: .WRITER_ID OABA4698
.WRITER_ID oa

.PEN_DOWN
2137 3476 2050131
2153 3488 2050145
2169 3500 2050159
2189 3511 2050173
2204 3527 2050187
2224 3539 2050201
2244 3551 2050215
2264 3563 2050229
2284 3575 2050243
2303 3583 2050257
2323 3594 2050271
2339 3602 2050285
2355 3610 2050299
2367 3614 2050313
2375 3618 2050327
2383 3622 2050341
2391 3622 2050355
2394 3622 2050369
2402 3626 2050383
2406 3626 2050397
2406 3626 2050411
2410 3626 2050425
2410 3626 2050439
2410 3626 2050453
2410 3626 2050467
2406 3630 2050481
2406 3630 2050495
2402 3630 2050509
2398 3630 2050523
2394 3634 2050537
2387 3634 2050551
2379 3634 2050565
2375 3634 2050579
2367 3634 2050593
2355 3630 2050607
2347 3630 2050621
2339 3626 2050635
2327 3622 2050649
2319 3622 2050663
2311 3614 2050677
2303 3610 2050691
2296 3598 2050705
2288 3594 2050719
2284 3586 2050733
2276 3575 2050747
2268 3567 2050761
2264 3555 2050775
2260 3543 2050789
2260 3531 2050803
2256 3519 2050817
2256 3507 2050831
2256 3496 2050845
2256 3484 2050859
2256 3472 2050873
2264 3460 2050887
2268 3452 2050901
2276 3444 2050915
2288 3436 2050929
2296 3432 2050943
2307 3425 2050957
2323 3425 2050971
2339 3425 2050985
2359 3432 2050999
2379 3444 2051013
2398 3456 2051027
2422 3472 2051041
.PEN_UP
