.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.COMMENT previously: .WRITER_ID gsaa1469
.WRITER_ID gs

.PEN_DOWN
3573 2866 923234
3601 2872 923249
3611 2876 923264
3615 2870 923279
3615 2866 923294
3603 2824 923309
3595 2772 923324
3595 2734 923339
3609 2722 923354
3649 2742 923369
3695 2796 923384
3736 2866 923399
3764 2921 923414
3776 2937 923429
.PEN_UP
.PEN_DOWN
3754 2784 923669
3760 2788 923684
3760 2796 923699
3758 2812 923714
3740 2816 923729
3723 2814 923744
3711 2794 923759
3689 2764 923774
3689 2738 923789
3701 2726 923804
3723 2724 923819
3746 2734 923834
3758 2756 923849
3766 2780 923864
3766 2794 923879
3758 2808 923894
3742 2804 923909
3729 2790 923924
3715 2774 923939
3711 2762 923954
3711 2754 923969
3725 2750 923984
3746 2750 923999
3784 2752 924014
3808 2752 924029
3842 2752 924044
3856 2748 924059
3874 2738 924074
3878 2730 924089
3880 2728 924104
3876 2728 924119
3876 2744 924134
3876 2762 924149
3876 2786 924164
3878 2810 924179
3878 2826 924194
3878 2830 924209
3888 2836 924224
3910 2836 924239
.PEN_UP
.PEN_DOWN
4038 2959 924314
4042 2973 924329
4042 2985 924344
4038 2993 924359
4028 2991 924374
4016 2973 924389
4000 2941 924404
3974 2883 924419
3956 2818 924434
3954 2760 924449
3948 2730 924464
3948 2726 924479
3944 2728 924494
3938 2736 924509
3936 2752 924524
3936 2768 924539
3940 2782 924554
3946 2790 924569
3952 2792 924584
3960 2790 924599
3974 2784 924614
3988 2774 924629
4006 2770 924644
4026 2760 924659
4042 2754 924674
4042 2742 924689
4044 2732 924704
4044 2732 924719
4046 2742 924734
4058 2764 924749
4076 2794 924764
4088 2834 924779
4098 2852 924794
4096 2854 924809
4094 2848 924824
4088 2830 924839
4088 2824 924854
4094 2824 924869
.PEN_UP
.PEN_DOWN
4185 2806 924989
4187 2810 925004
4187 2816 925019
4181 2824 925034
4169 2830 925049
4153 2832 925064
4138 2824 925079
4122 2802 925094
4110 2774 925109
4110 2748 925124
4122 2730 925139
4140 2730 925154
4157 2738 925169
4181 2758 925184
4195 2772 925199
4207 2790 925214
4209 2790 925229
4207 2780 925244
4203 2758 925259
4205 2748 925274
4215 2746 925289
4245 2748 925304
.PEN_UP
.PEN_DOWN
4329 2800 925409
4337 2808 925424
4343 2820 925439
4341 2828 925454
4327 2834 925469
4309 2830 925484
4293 2814 925499
4287 2788 925514
4275 2750 925529
4279 2706 925544
4291 2666 925559
4303 2616 925574
4327 2538 925589
4337 2482 925604
4337 2440 925619
4331 2422 925634
4315 2424 925649
4299 2448 925664
4277 2486 925679
4265 2534 925694
4273 2588 925709
4287 2616 925724
4311 2636 925739
4341 2642 925754
.PEN_UP
