.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Wacom HD-648A LCD Digitizer
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 508
.Y_POINTS_PER_INCH 508
.POINTS_PER_SECOND 66

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.COMMENT previously: .WRITER_ID hwaa1340
.WRITER_ID hw

.PEN_DOWN
2285 2603 3615109
2281 2599 3615124
2281 2597 3615139
2281 2591 3615154
2283 2591 3615169
2289 2595 3615184
2329 2625 3615199
2403 2697 3615214
2461 2763 3615229
2506 2821 3615244
2548 2867 3615259
2584 2910 3615274
2596 2918 3615289
2600 2920 3615304
2600 2918 3615319
2592 2910 3615334
2578 2871 3615349
2548 2801 3615364
2510 2723 3615379
2461 2637 3615394
2443 2601 3615409
2435 2587 3615424
2431 2587 3615439
2431 2625 3615454
2431 2663 3615469
2431 2697 3615484
2431 2705 3615499
2427 2707 3615514
2435 2695 3615529
2457 2681 3615544
2498 2681 3615559
2554 2703 3615574
2594 2727 3615589
2620 2741 3615604
2632 2731 3615619
2632 2699 3615634
2622 2657 3615649
2602 2599 3615664
2572 2521 3615679
2550 2471 3615694
2544 2445 3615709
2542 2434 3615724
2542 2441 3615739
2548 2471 3615754
2558 2519 3615769
2576 2601 3615784
2596 2651 3615799
2614 2685 3615814
2632 2711 3615829
2668 2729 3615844
2702 2731 3615859
2736 2725 3615874
2750 2707 3615889
2748 2673 3615904
2732 2641 3615919
2702 2623 3615934
2662 2609 3615949
2622 2609 3615964
2610 2615 3615979
2610 2621 3615994
.PEN_UP
.PEN_DOWN
2816 2679 3616084
2810 2655 3616099
2804 2623 3616114
2802 2601 3616129
2808 2593 3616144
2818 2599 3616159
2834 2625 3616174
2840 2661 3616189
2834 2691 3616204
2828 2701 3616219
2822 2701 3616234
2820 2699 3616249
2828 2681 3616264
2848 2679 3616279
2886 2683 3616294
2954 2719 3616309
2996 2757 3616324
3030 2793 3616339
3056 2825 3616354
3072 2851 3616369
3072 2851 3616384
3072 2851 3616399
3064 2837 3616414
3032 2779 3616429
3010 2723 3616444
2976 2663 3616459
2956 2611 3616474
2938 2561 3616489
2938 2561 3616504
2952 2581 3616519
2966 2627 3616534
2974 2681 3616549
2976 2697 3616564
2974 2697 3616579
2974 2697 3616594
2984 2679 3616609
3004 2677 3616624
3030 2677 3616639
3072 2689 3616654
3138 2735 3616669
3184 2773 3616684
3222 2805 3616699
3236 2825 3616714
3244 2835 3616729
3244 2835 3616744
3240 2823 3616759
3208 2785 3616774
3138 2715 3616789
3100 2673 3616804
3082 2647 3616819
3080 2641 3616834
3094 2643 3616849
3126 2665 3616864
3160 2681 3616879
3164 2683 3616894
3162 2669 3616909
3160 2649 3616924
3160 2627 3616939
3174 2617 3616954
3196 2623 3616969
3232 2643 3616984
3254 2671 3616999
3280 2697 3617014
3280 2705 3617029
3276 2705 3617044
3268 2691 3617059
3254 2653 3617074
3254 2621 3617089
3258 2603 3617104
3282 2603 3617119
3333 2629 3617134
3379 2671 3617149
3427 2717 3617164
3471 2769 3617179
3497 2817 3617194
3497 2825 3617209
3489 2825 3617224
3467 2799 3617239
3419 2737 3617254
3375 2687 3617269
3341 2647 3617284
3320 2621 3617299
3320 2613 3617314
3329 2615 3617329
3353 2641 3617344
3401 2669 3617359
3473 2697 3617374
3513 2709 3617389
3531 2709 3617404
3531 2709 3617419
3525 2701 3617434
3499 2685 3617449
3459 2663 3617464
3419 2637 3617479
3417 2625 3617494
3419 2609 3617509
3435 2603 3617524
3489 2615 3617539
3529 2641 3617554
3553 2663 3617569
3553 2665 3617584
3545 2657 3617599
3521 2627 3617614
3517 2597 3617629
3527 2585 3617644
3591 2597 3617659
.PEN_UP
