.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Notepad NCR 3125
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 400
.Y_POINTS_PER_INCH 400
.POINTS_PER_SECOND 100

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.WRITER_ID mg

.PEN_DOWN
3396 3420 428854
3396 3428 428868
3392 3432 428882
3388 3436 428896
3380 3440 428910
3368 3440 428924
3352 3440 428938
3337 3440 428952
3317 3432 428966
3297 3424 428980
3273 3408 428994
3250 3392 429008
3226 3373 429022
3202 3349 429036
3186 3325 429050
3170 3301 429064
3159 3277 429078
3147 3254 429092
3143 3234 429106
3139 3210 429120
3143 3194 429134
3147 3182 429148
3155 3178 429162
3166 3174 429176
3174 3178 429190
3186 3186 429204
3194 3198 429218
3198 3210 429232
3202 3222 429246
3206 3234 429260
3210 3246 429274
3210 3261 429288
3210 3273 429302
3210 3281 429316
3214 3285 429330
3218 3289 429344
3226 3289 429358
3242 3289 429372
3254 3289 429386
3273 3289 429400
3289 3285 429414
3305 3285 429428
3321 3289 429442
3337 3285 429456
3349 3281 429470
3352 3277 429484
3356 3277 429498
3356 3273 429512
3352 3269 429526
3345 3261 429540
3333 3254 429554
3325 3246 429568
3317 3238 429582
3313 3226 429596
3313 3222 429610
3313 3214 429624
3317 3210 429638
3325 3210 429652
3333 3210 429666
3345 3214 429680
3352 3214 429694
3356 3218 429708
3360 3222 429722
3364 3222 429736
3368 3222 429750
3368 3222 429764
3368 3218 429778
3372 3214 429792
3380 3214 429806
3388 3214 429820
3396 3214 429834
3416 3218 429848
3436 3230 429862
3459 3242 429876
3483 3261 429890
3507 3281 429904
3535 3301 429918
3558 3325 429932
3578 3345 429946
3590 3365 429960
3602 3381 429974
3610 3389 429988
3610 3396 430002
3610 3400 430016
3602 3392 430030
3594 3385 430044
3582 3369 430058
3566 3349 430072
3550 3329 430086
3539 3309 430100
3527 3285 430114
3515 3265 430128
3507 3250 430142
3503 3234 430156
3499 3222 430170
3499 3210 430184
3503 3210 430198
3507 3206 430212
3511 3210 430226
3519 3218 430240
3523 3226 430254
3527 3234 430268
3531 3238 430282
3531 3246 430296
3535 3250 430310
3535 3254 430324
3535 3258 430338
3535 3254 430352
3535 3254 430366
3539 3250 430380
3546 3250 430394
3562 3246 430408
3574 3246 430422
3594 3250 430436
3610 3254 430450
3626 3254 430464
3641 3261 430478
3649 3265 430492
3661 3269 430506
3665 3269 430520
3665 3273 430534
3661 3269 430548
3657 3265 430562
3649 3258 430576
3641 3250 430590
3634 3238 430604
3626 3230 430618
3626 3222 430632
3626 3210 430646
3634 3206 430660
3645 3206 430674
3665 3210 430688
3685 3222 430702
3709 3238 430716
3733 3254 430730
3760 3273 430744
3784 3297 430758
3804 3317 430772
3824 3337 430786
3839 3353 430800
3847 3365 430814
3847 3377 430828
3847 3377 430842
3839 3373 430856
3828 3361 430870
3820 3349 430884
3808 3329 430898
3800 3309 430912
3792 3289 430926
3788 3269 430940
3788 3246 430954
3792 3226 430968
3796 3210 430982
3800 3198 430996
3812 3186 431010
.PEN_UP
