.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Notepad NCR 3125
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 400
.Y_POINTS_PER_INCH 400
.POINTS_PER_SECOND 100

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.COMMENT previously: .WRITER_ID htca1570
.WRITER_ID ht

.PEN_DOWN
1512 2871 2556209
1516 2875 2556223
1516 2883 2556237
1516 2891 2556251
1520 2903 2556265
1520 2915 2556279
1520 2927 2556293
1516 2935 2556307
1512 2946 2556321
1504 2954 2556335
1496 2958 2556349
1484 2962 2556363
1472 2958 2556377
1456 2946 2556391
1440 2931 2556405
1425 2907 2556419
1405 2875 2556433
1389 2836 2556447
1373 2800 2556461
1361 2761 2556475
1353 2721 2556489
1349 2686 2556503
1349 2658 2556517
1353 2634 2556531
1361 2619 2556545
1373 2611 2556559
1389 2611 2556573
1409 2626 2556587
1429 2650 2556601
1452 2686 2556615
1476 2729 2556629
1496 2781 2556643
1520 2836 2556657
1543 2899 2556671
1559 2962 2556685
1579 3018 2556699
1595 3077 2556713
1607 3128 2556727
1615 3176 2556741
1619 3207 2556755
1623 3231 2556769
1623 3243 2556783
1619 3247 2556797
1615 3231 2556811
1611 3203 2556825
1603 3160 2556839
1595 3112 2556853
1587 3061 2556867
1583 3010 2556881
1579 2954 2556895
1575 2899 2556909
1571 2852 2556923
1571 2808 2556937
1575 2769 2556951
1579 2733 2556965
1583 2709 2556979
1591 2698 2556993
1595 2694 2557007
1603 2698 2557021
1611 2709 2557035
1627 2729 2557049
1634 2749 2557063
1646 2773 2557077
1658 2796 2557091
1670 2820 2557105
1674 2844 2557119
1682 2863 2557133
1686 2879 2557147
1690 2891 2557161
1686 2891 2557175
1686 2883 2557189
1682 2863 2557203
1674 2844 2557217
1670 2816 2557231
1662 2788 2557245
1662 2757 2557259
1662 2729 2557273
1666 2698 2557287
1674 2674 2557301
1682 2654 2557315
1694 2642 2557329
1714 2642 2557343
1729 2646 2557357
1741 2662 2557371
.PEN_UP
.PEN_DOWN
1698 3116 2557581
1694 3120 2557595
1686 3116 2557609
1682 3112 2557623
1682 3104 2557637
1678 3101 2557651
1682 3093 2557665
1686 3089 2557679
1690 3081 2557693
1694 3073 2557707
.PEN_UP
.PEN_DOWN
1809 2804 2557931
1813 2792 2557945
1817 2784 2557959
1820 2784 2557973
1828 2784 2557987
1836 2788 2558001
1840 2796 2558015
1848 2808 2558029
1852 2816 2558043
1856 2836 2558057
1856 2852 2558071
1852 2867 2558085
1844 2879 2558099
1836 2883 2558113
1828 2887 2558127
1817 2879 2558141
1805 2867 2558155
1793 2848 2558169
1781 2824 2558183
1777 2792 2558197
1769 2765 2558211
1769 2737 2558225
1777 2705 2558239
1785 2678 2558253
1801 2654 2558267
1817 2642 2558281
1836 2630 2558295
1852 2630 2558309
1868 2634 2558323
1880 2642 2558337
1888 2662 2558351
.PEN_UP
